"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/13/2023","AirNow","061072003","1","0.03","ppm","28","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/14/2023","AirNow","061072003","1","0.034","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/15/2023","AirNow","061072003","1","0.035","ppm","32","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/16/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","23","96.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/18/2023","AirNow","061072003","1","0.03","ppm","28","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/19/2023","AirNow","061072003","1","0.025","ppm","23","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/20/2023","AirNow","061072003","1","0.033","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/21/2023","AirNow","061072003","1","0.027","ppm","25","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/22/2023","AirNow","061072003","1","0.024","ppm","22","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/23/2023","AirNow","061072003","1","0.032","ppm","30","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/24/2023","AirNow","061072003","1","0.03","ppm","28","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/25/2023","AirNow","061072003","1","0.031","ppm","29","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/26/2023","AirNow","061072003","1","0.035","ppm","32","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/27/2023","AirNow","061072003","1","0.034","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/28/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/29/2023","AirNow","061072003","1","0.035","ppm","32","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/30/2023","AirNow","061072003","1","0.017","ppm","16","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/31/2023","AirNow","061072003","1","0.023","ppm","21","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/01/2023","AirNow","061072003","1","0.029","ppm","27","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/02/2023","AirNow","061072003","1","0.021","ppm","19","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/03/2023","AirNow","061072003","1","0.031","ppm","29","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/04/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/05/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/06/2023","AirNow","061072003","1","0.029","ppm","27","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/07/2023","AirNow","061072003","1","0.032","ppm","30","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/08/2023","AirNow","061072003","1","0.034","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/09/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/10/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/11/2023","AirNow","061072003","1","0.039","ppm","36","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/12/2023","AirNow","061072003","1","0.035","ppm","32","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/13/2023","AirNow","061072003","1","0.043","ppm","40","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/14/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/15/2023","AirNow","061072003","1","0.033","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/16/2023","AirNow","061072003","1","0.034","ppm","31","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/17/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/18/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/19/2023","AirNow","061072003","1","0.045","ppm","42","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/20/2023","AirNow","061072003","1","0.047","ppm","44","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/21/2023","AirNow","061072003","1","0.048","ppm","44","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/22/2023","AirNow","061072003","1","0.039","ppm","36","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/23/2023","AirNow","061072003","1","0.041","ppm","38","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/24/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/25/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/26/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/27/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"02/28/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/01/2023","AirNow","061072003","1","0.039","ppm","36","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/02/2023","AirNow","061072003","1","0.041","ppm","38","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/03/2023","AirNow","061072003","1","0.044","ppm","41","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/04/2023","AirNow","061072003","1","0.043","ppm","40","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/05/2023","AirNow","061072003","1","0.041","ppm","38","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/06/2023","AirNow","061072003","1","0.046","ppm","43","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/07/2023","AirNow","061072003","1","0.044","ppm","41","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/08/2023","AirNow","061072003","1","0.042","ppm","39","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/09/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/10/2023","AirNow","061072003","1","0.021","ppm","19","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/11/2023","AirNow","061072003","1","0.028","ppm","26","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/12/2023","AirNow","061072003","1","0.036","ppm","33","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/13/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/15/2023","AirNow","061072003","1","0.039","ppm","36","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/16/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/17/2023","AirNow","061072003","1","0.042","ppm","39","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/18/2023","AirNow","061072003","1","0.044","ppm","41","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/19/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/20/2023","AirNow","061072003","1","0.036","ppm","33","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/21/2023","AirNow","061072003","1","0.041","ppm","38","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/22/2023","AirNow","061072003","1","0.043","ppm","40","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/23/2023","AirNow","061072003","1","0.037","ppm","34","Visalia-W. Ashland Avenue","22","92.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/24/2023","AirNow","061072003","1","0.045","ppm","42","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
