Site ID,Latitude (before),Longitude (before),Latitude (after),Longitude (after),COUNTY
60830011,34.427775,-119.6912178,62,64,Santa Barbara
60831008,34.942872,-120.435611,75,52,Santa Barbara
60832004,34.6378200008827,-120.4575,69,51,Santa Barbara
60832004,34.63782,-120.4575,68,51,Santa Barbara
60832011,34.4455100008805,-119.8284,64,60,Santa Barbara
60832011,34.44551,-119.8284,63,60,Santa Barbara
60850002,36.999571,-121.574684,107,29,Santa Clara
60850005,37.348497,-121.894898,109,19,Santa Clara
60870007,36.983320000907,-121.98822,104,18,Santa Cruz
60870007,36.98332,-121.98822,103,18,Santa Cruz
60890004,40.550130000932,-122.38092,159,6,Shasta
60890004,40.55013,-122.38092,158,6,Shasta
60893003,40.53999,-121.57646,157,28,Shasta
60932001,41.726892,-122.633579,162,3,Siskiyou
60950004,38.102507,-122.237976,128,12,Solano
60970004,38.403765,-122.818294,131,2,Sonoma
60990005,37.642165,-120.994212,115,44,Stanislaus
60990006,37.488317,-120.836008,114,47,Stanislaus
61010003,39.1387725442464,-121.618548986224,148,27,Sutter
61010003,39.13877254,-121.618549,147,26,Sutter
61030007,40.17093,-122.25556,156,11,Tehama
61070009,36.48947,-118.82915,93,76,Tulare
61072002,36.3321793109462,-119.291227556039,89,70,Tulare
61072010,36.0318310008979,-119.055018,84,74,Tulare
61072010,36.031831,-119.055018,83,74,Tulare
61110007,34.210169,-118.870509,55,75,Ventura
61110009,34.404281,-118.80998,60,77,Ventura
61111004,34.44806,-119.2313,65,71,Ventura
61112002,34.276316,-118.683685,58,78,Ventura
61113001,34.25239,-119.143182,57,72,Ventura
61130004,38.53445,-121.7734,133,22,Yolo
61131003,38.66121,-121.73269,137,24,Yolo
60771003,37.961578,-121.281414,126,35,San Joaquin
60374009,33.793713,-118.171019,28,89,Los Angeles
60374009,33.7937130008725,-118.171019,29,89,Los Angeles
60831009,34.89066667,-120.4328444,74,55,Santa Barbara
60831009,34.8906666667,-120.4328444444,73,54,Santa Barbara
61072003,36.30815,-119.3129,87,69,Tulare
60290020,35.04944,-118.18893,78,87,Kern
60379035,34.725389,-118.178601,72,88,Los Angeles
